,index,path,mae,r2,rmse
0,Route0_Perf0_dt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf0_dt,529.494503771,0.384125551719,697.277769894
1,Route0_Perf0_gbt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf0_gbt,431.621336218,0.556981254281,591.385644409
2,Route0_Perf0_lr,/home/ubuntu/Regression_5th_Iteration/Route0_Perf0_lr,544.488170998,0.354877863755,713.642487846
3,Route0_Perf0_rfr,/home/ubuntu/Regression_5th_Iteration/Route0_Perf0_rfr,526.111130215,0.392529907252,692.503825975
4,Route0_Perf1_dt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf1_dt,545.740507494,0.407842588123,719.008216822
5,Route0_Perf1_gbt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf1_gbt,432.063303678,0.598188365003,592.279256881
6,Route0_Perf1_lr,/home/ubuntu/Regression_5th_Iteration/Route0_Perf1_lr,566.879338333,0.37251618854,740.144526265
7,Route0_Perf1_rfr,/home/ubuntu/Regression_5th_Iteration/Route0_Perf1_rfr,546.291740528,0.410980704147,717.100507449
8,Route0_Perf2_dt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf2_dt,580.078532023,0.387891799186,775.848933569
9,Route0_Perf2_gbt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf2_gbt,453.266263246,0.595519458467,630.684104481
10,Route0_Perf2_lr,/home/ubuntu/Regression_5th_Iteration/Route0_Perf2_lr,611.246608405,0.343029085648,803.778045899
11,Route0_Perf2_rfr,/home/ubuntu/Regression_5th_Iteration/Route0_Perf2_rfr,576.398600971,0.403788756967,765.707937686
12,Route1_Perf0_dt,/home/ubuntu/Regression_5th_Iteration/Route1_Perf0_dt,396.459591843,0.519632679476,557.320718763
13,Route1_Perf0_gbt,/home/ubuntu/Regression_5th_Iteration/Route1_Perf0_gbt,319.165550339,0.657278868804,470.748454137
14,Route1_Perf0_lr,/home/ubuntu/Regression_5th_Iteration/Route1_Perf0_lr,414.62225653,0.464621799753,588.367672883
15,Route1_Perf0_rfr,/home/ubuntu/Regression_5th_Iteration/Route1_Perf0_rfr,394.38562415,0.52628728445,553.446929595
16,Route1_Perf1_dt,/home/ubuntu/Regression_5th_Iteration/Route1_Perf1_dt,333.554571726,0.575596104311,462.097242258
