,route cluster,performance cluster,index,path,mae,r2,rmse,cluster mean,cluster standard deviation,std - rmse,std - mae,% drop of std - rmse vs mean,% drop of std - mae vs mean,% std,% rmse,% mae,model type
29,2,1,Route2_Perf1_gbt,/home/ubuntu/Regression_5th_Iteration/Route2_Perf1_gbt,600.613997796,0.693696271771,778.369729612,7098.52502662,1406.77763184,628.407902229,806.163634045,0.0885265459897,0.113567766687,0.198178864844,0.109652318854,0.0846110981568,gbt
57,4,2,Route4_Perf2_gbt,/home/ubuntu/Regression_5th_Iteration/Route4_Perf2_gbt,248.002718723,0.835713008852,340.550291971,2445.92339652,840.303289465,499.752997494,592.300570742,0.204320788707,0.242158266929,0.343552578409,0.139231789702,0.10139431148,gbt
25,2,0,Route2_Perf0_gbt,/home/ubuntu/Regression_5th_Iteration/Route2_Perf0_gbt,411.278013939,0.793792819249,538.818789218,3763.07652464,1186.66224297,647.843453757,775.384229036,0.172157927035,0.20605061416,0.315343638431,0.143185711396,0.10929302427,gbt
33,2,2,Route2_Perf2_gbt,/home/ubuntu/Regression_5th_Iteration/Route2_Perf2_gbt,427.809315466,0.763257424482,583.643616743,3844.37022631,1199.63175095,615.988134206,771.822435483,0.160231220706,0.200766937118,0.312048965196,0.15181774449,0.111282028078,gbt
41,3,1,Route3_Perf1_gbt,/home/ubuntu/Regression_5th_Iteration/Route3_Perf1_gbt,689.221090386,0.619459859005,951.097485026,6044.31182285,1541.84944631,590.751961282,852.628355922,0.0977368439279,0.141062933368,0.255090983307,0.157354139379,0.114028049939,gbt
31,2,1,Route2_Perf1_rfr,/home/ubuntu/Regression_5th_Iteration/Route2_Perf1_rfr,882.738725763,0.364257302715,1121.37401119,7098.52502662,1406.77763184,285.403620651,524.038906078,0.040206045563,0.0738236329536,0.198178864844,0.157972819281,0.12435523189,rfr
5,0,1,Route0_Perf1_gbt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf1_gbt,432.063303678,0.598188365003,592.279256881,3675.8353134,934.374179616,342.094922735,502.310875938,0.0930659002836,0.136652171034,0.254193700194,0.161127799911,0.11754152916,gbt
28,2,1,Route2_Perf1_dt,/home/ubuntu/Regression_5th_Iteration/Route2_Perf1_dt,900.614850872,0.327020138071,1153.74765411,7098.52502662,1406.77763184,253.029977731,506.162780969,0.0356454301114,0.0713053456979,0.198178864844,0.162533434732,0.126873519146,dt
1,0,0,Route0_Perf0_gbt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf0_gbt,431.621336218,0.556981254281,591.385644409,3555.60990031,888.516472931,297.130828522,456.895136713,0.0835667682487,0.12849979315,0.249891438556,0.166324670307,0.121391645405,gbt
9,0,2,Route0_Perf2_gbt,/home/ubuntu/Regression_5th_Iteration/Route0_Perf2_gbt,453.266263246,0.595519458467,630.684104481,3760.8435419,991.693315856,361.009211375,538.42705261,0.0959915527867,0.143166565323,0.263689064649,0.167697511863,0.120522499327,gbt
